2.3813,3/3
3.175,1/8
3.9688,5/32
4.7625,3/16
5.5563,7/3
6.35,1/4
7.1437,9/32
7.9375,5/16
9.525,3/8
11.113,7/16
12.7,1/2
14.287,9/16
15.875,5/8
17.462,11/16
19.05,3/4
20.637,13/16
22.225,7/8
23.812,15/16
25.4,1
26.988,1   1/16
28.575,1   1/8
30.163,1   3/16
31.75,1   1/4
33.337,1   5/16
34.925,1   3/8
36.513,1   7/16
38.1,1   1/2
39.688,1   9/16
41.275,1   5/8
44.45,1   3/4
47.625,1   7/8
50.8,2
52.388,2   1/16
53.975,2   1/8
55.562,2   3/16 
57.15,2   1/4
58.737,2   5/16
60.325,2   3/8
61.913,2   7/16
63.5,2   1/2
66.675,2   5/8
69.85,2   3/4
73.025,2   7/8
76.2,3
79.375,3   1/8
82.55,3   1/4
85.725,3   3/8
88.9,3   1/2
92.075,3   5/8
95.25,3   3/4
98.425,3   7/8
101.6,4
104.78,4   1/8
107.95,4   1/4
111.12,4   3/8
114.3,4   1/2
117.47,4   5/8
120.65,4   3/4
123.83,4   7/8
127,5
133.35,5   1/4
139.7,5   1/2
146.05,5   3/4
152.4,6
158.75,6   1/4
165.1,6   1/2
171.45,6   3/4
177.8,7
184.15,7   1/4
190.5,7   1/2
196.85,7   3/4
203.2,8
209.55,8   1/4
215.9,8   1/2
222.25,8   3/4
228.6,9
234.95,9   1/4
241.3,9   1/2
247.65,9   3/4
254,10
266.7,10   1/2
279.4,11
292.1,11   1/2
304.8,12
330.2,13
355.6,14
381,15
406.4,16
431.8,17 
457.2,18
508,20
